page_url,domain,url_matched_for_gallery_page,url_matched_for_page_with_gallery,number_of_images_by_img_src,number_of_images_by_a_href,has_match
https://www.extra.cz/divku-20-znasilnilo-6-hasicu-s-jednim-sla-z-vlastni-vule-pak-se-pridali-dalsi/galerie/3,www.extra.cz,True,False,0,4,True
https://www.extra.cz/divku-20-znasilnilo-6-hasicu-s-jednim-sla-z-vlastni-vule-pak-se-pridali-dalsi/galerie/2,www.extra.cz,True,False,0,4,True
https://www.extra.cz/divku-20-znasilnilo-6-hasicu-s-jednim-sla-z-vlastni-vule-pak-se-pridali-dalsi/galerie/1,www.extra.cz,True,False,0,4,True
https://prozeny.blesk.cz/clanek/pro-zeny-volny-cas-bydleni/604964/stavite-terasu-nebojte-se-kompozitniho-dreva.html,prozeny.blesk.cz,False,False,0,5,True
https://www.extra.cz/s-tynus-to-nevypada-dobre-pritel-krasne-youtuberky-promluvil-pro-extra/galerie/3,www.extra.cz,True,False,0,4,True
https://www.extra.cz/slavny-cesky-rapper-boural-v-bmw-silny-naraz-na-dalnici-auto-na-srot/galerie/1,www.extra.cz,True,False,0,4,True
https://www.extra.cz/s-tynus-to-nevypada-dobre-pritel-krasne-youtuberky-promluvil-pro-extra,www.extra.cz,False,False,0,41,True
https://www.extra.cz/s-tynus-to-nevypada-dobre-pritel-krasne-youtuberky-promluvil-pro-extra/galerie/2,www.extra.cz,True,False,0,4,True
https://www.extra.cz/s-tynus-to-nevypada-dobre-pritel-krasne-youtuberky-promluvil-pro-extra/galerie/1,www.extra.cz,True,False,0,4,True
https://www.extra.cz/divku-20-znasilnilo-6-hasicu-s-jednim-sla-z-vlastni-vule-pak-se-pridali-dalsi,www.extra.cz,False,False,0,36,True
https://www.blesk.cz/clanek/celebrity-kralovske-rodiny/605674/vevodkyne-meghan-porodila-je-to-kluk-culi-se-stastny-princ-harry.html,www.blesk.cz,False,False,0,34,True
https://www.extra.cz/prvni-pohled-na-kralovske-miminko-vime-kdy-meghan-a-princ-harry-ukazou-synka-verejnosti,www.extra.cz,False,False,0,41,True
https://www.extra.cz/prvni-pohled-na-kralovske-miminko-vime-kdy-meghan-a-princ-harry-ukazou-synka-verejnosti/galerie/3,www.extra.cz,True,False,0,4,True
https://www.extra.cz/prvni-pohled-na-kralovske-miminko-vime-kdy-meghan-a-princ-harry-ukazou-synka-verejnosti/galerie/2,www.extra.cz,True,False,0,4,True
https://www.extra.cz/prvni-pohled-na-kralovske-miminko-vime-kdy-meghan-a-princ-harry-ukazou-synka-verejnosti/galerie/1,www.extra.cz,True,False,0,4,True
https://www.extra.cz/hra-o-truny-celi-obrimu-trapasu-ve-stredovekem-serialu-se-objevil-kelimek-ze-starbucks,www.extra.cz,False,False,0,41,True
https://www.extra.cz/sen-o-domacim-porodu-se-rozpadl-vevodkyni-meghan-vezli-do-soukrome-nemocnice,www.extra.cz,False,False,0,41,True
