page_url,domain,url_matched_for_gallery_page,url_matched_for_page_with_gallery,number_of_images_by_img_src,number_of_images_by_a_href,has_match,total_img_elements_found
https://www.extra.cz/online-festival-v-karlovych-varech-zacina-deni-na-cervenem-koberci-sledujeme-minutu-po-minute,www.extra.cz,False,False,0,41,True,86
https://www.blesk.cz/clanek/digital-pocitace-a-hry/548984/53-retro-pareb-v-jednom-aneb-navrat-do-hernich-90-let-recenze-sega-mega-drive-classics.html,www.blesk.cz,False,False,0,524,True,568
https://www.reflex.cz/online-volby-2019-evropsky-parlament,www.reflex.cz,False,False,0,4,True,255
https://www.sport.cz/tenis/wimbledon/clanek/1122281-muchova-v-senzacni-wimbledonske-bitve-vyradila-pliskovou-dal-jde-i-strycova-jizda-kvitove-konci.html,www.sport.cz,False,False,25,0,True,114
https://prozeny.blesk.cz/clanek/pro-zeny-recenze-kosmetiky/501264/test-kremu-na-ruce-ktere-jsou-nejlepsi-a-skutecne-je-ochrani.html,prozeny.blesk.cz,False,False,0,7,True,63
https://www.televizeseznam.cz/video/na-hadry/skrin-anicky-slovackove-nasli-jsme-minisaty-po-dade-prehoz-evy-pilarove-a-podezrele-fleky-na-saku-63912965?zobraz=nabidku,www.televizeseznam.cz,True,False,0,0,True,161
https://emefka.sk/members/zuss/submissions/,emefka.sk,False,False,1028,4,True,2073
https://www.fashionmagazin.cz/jak-uvazat-kravatu/,www.fashionmagazin.cz,False,False,21,2,True,123
https://videacesky.cz/video/argument-proti-politicke-korektnosti,videacesky.cz,True,False,0,0,True,135
https://www.recepty.cz/recept/pizza-testo-z-pizzerie-5828,www.recepty.cz,False,False,0,7,True,910
https://shop.emefka.sk/sk/emefka/?utm_source=emefka&utm_medium=badge_list&utm_campaign=emefka_shop_badge_list,shop.emefka.sk,False,False,0,9,True,54
https://www.sme.sk/g/84512/nove-funkcie-aplikacie-sme-sk-pre-ios?gref=https%3A%2F%2Fwww.sme.sk%2Fc%2F6662272%2Fsme-sk-pre-smartfony.html&list=1,www.sme.sk,True,False,0,26,True,20
https://www.vitalia.cz/clanky/nejctenejsi-clanky-roku-2018-na-vitalia-cz/,www.vitalia.cz,False,False,0,40,True,112
https://fotky.sme.sk/fotka/109397/ked-dusa-kraca-bosa,fotky.sme.sk,True,False,0,0,True,72
https://www.jenzeny.cz/redaktorky,www.jenzeny.cz,False,False,28,0,True,44
https://www.kafe.cz/moda/hlasujte-o-nejlepsi-virtualni-promene-3580.html,www.kafe.cz,False,False,0,6,True,65
